FID,Animal,Count,Bearing,Distance,NObservers,Vehicle,Day,Month,Year,Territory,StartingTi,Time,CarNorthin,CarEasting,AdjNorthin,AdjEasting,AccurateCo,FirstDetec,Sample_ID,Site_ID,DSclass
259,Hyena,1,235,186,1,Maruti,24,11,2012,North,6:08,6:41,9845606.196,719584.0462,9845499.511,719431.684,1,1,5,2,4
260,Lion,16,252,147,1,WhiteCruiser,25,11,2012,North,6:09,6:47,0,0,9851730,720184,1,1,5,4,4
261,Lion,6,146,105,1,WhiteCruiser,25,11,2012,North,6:09,10:09,9843956.351,722801.6695,9843869.302,722860.3848,1,1,5,8,2
262,Hyena,4,340,384.5,1,Maruti,26,11,2012,North,6:10,6:36,9845443.906,722441.7451,9845805.218,722310.2384,1,1,5,7,2
263,BlackBackedJackal,1,109,43,1,Maruti,26,11,2012,North,6:10,6:39,9845794.216,722184.7236,9845780.216,722225.3809,1,1,5,7,1
264,BandedMongoose,26,164,55.5,1,Maruti,26,11,2012,North,6:10,7:18,9846945.842,723783.8425,9846892.492,723799.1404,1,1,5,8,2
265,Hyena,1,303,200,1,Maruti,26,11,2012,North,6:10,8:21,9842058.807,720794.3221,9842167.735,720626.588,1,1,5,1,4
266,Hyena,2,215,29,1,Maruti,26,11,2012,North,6:10,8:41,9842770.411,718651.1226,9842746.656,718634.4889,1,1,5,1,1
267,Lion,1,319,235.5,1,Maruti,26,11,2012,North,6:10,10:45,9854117.274,722040.4824,9854295.008,721885.9805,1,1,5,4,5
268,BandedMongoose,16,42,41.5,1,Maruti,26,11,2012,North,6:10,11:21,9850807.659,718088.2647,9850838.499,718116.0336,0,1,5,5,1
269,Hyena,1,45,86,1,Maruti,11,1,2013,North,6:27,7:01,9845899.951,719490.3324,9845960.763,719551.1435,1,1,6,2,1
270,BlackBackedJackal,2,220,81.5,1,Maruti,14,1,2013,North,6:31,8:41,9848888.75,721237.5374,9848826.318,721185.1502,1,1,6,6,2
271,BandedMongoose,16,131,50,1,Maruti,14,1,2013,North,6:31,8:43,9848554.433,721267.1069,9848521.63,721304.8424,1,1,6,6,1
272,Lion,1,318,282.5,1,Maruti,14,1,2013,North,6:31,11:59,9846522.844,717428.2863,9846732.782,717239.2569,1,1,6,2,2
273,Lion,6,340,235,1,Maruti,9,2,2013,North,6:40,7:47,9848067.386,717698.1508,9848288.214,717617.7761,1,1,7,3,2
274,Lion,1,222,128,1,Maruti,9,2,2013,North,6:40,9:37,9852343.148,720860.2378,9852248.025,720774.5891,1,1,7,4,1
275,Lion,1,88,2,1,Maruti,10,2,2013,North,6:37,6:45,9855852.2,721780.7585,9855852.27,721782.7573,1,1,7,4,1
276,BlackBackedJackal,2,277,44.5,1,Maruti,10,2,2013,North,6:37,7:08,9851795.55,720446.9867,9851800.973,720402.8184,1,1,7,5,1
277,BlackBackedJackal,2,327,28.5,1,Maruti,10,2,2013,North,6:37,8:26,9849996.331,720926.4367,9850020.233,720910.9145,1,1,7,6,1
278,BandedMongoose,1,1,0,1,Maruti,10,2,2013,North,6:37,8:40,9849403.231,721120.7966,9849403.231,721120.7966,1,1,7,6,1
279,Hyena,1,231,682,1,Maruti,10,2,2013,North,6:37,8:48,9847587.444,721074.1707,9847158.248,720544.1572,1,0,7,6,10
280,Lion,1,0,123,1,Maruti,10,2,2013,North,6:37,11:48,9846851.997,719371.8642,9846974.997,719371.8642,1,1,7,2,3
281,BatEaredFox,3,252,16,1,Maruti,11,2,2013,North,6:40,7:27,9847157.537,721939.5921,9847152.593,721924.3752,1,1,7,7,1
282,Hyena,1,82,54.5,1,Maruti,11,2,2013,North,6:40,7:38,9847236.805,722349.8602,9847244.39,722403.8298,1,1,7,8,1
283,Hyena,1,216,55,1,Maruti,11,2,2013,North,6:40,8:03,9846562.719,724543.6084,9846518.224,724511.2802,1,1,7,8,1
284,BlackBackedJackal,1,158,35.5,1,Maruti,11,2,2013,North,6:40,8:04,9846532.05,724504.032,9846499.135,724517.3306,1,1,7,8,1
285,Serval,1,34,149,1,Maruti,11,2,2013,North,6:40,10:54,9855837.155,720452.5444,9855960.682,720535.8641,1,1,7,4,1
286,Hyena,1,337,80,1,Maruti,25,3,2013,North,6:32,7:26,9846414.691,717662.9417,9846488.332,717631.6832,1,1,8,2,2
287,BandedMongoose,3,112,80,1,Maruti,25,3,2013,North,6:32,9:36,9850598.604,719595.8856,9850568.636,719670.0603,1,1,8,5,2
288,Hyena,2,93,46,1,Maruti,25,3,2013,North,6:32,11:04,9847222.808,722393.1208,9847220.4,722439.0577,1,1,8,8,1
289,Hyena,1,0,17,1,Maruti,25,3,2013,North,6:32,11:05,9847219.842,722403.5679,9847236.842,722403.5679,1,1,8,8,1
290,BandedMongoose,5,181,26.5,1,Maruti,26,3,2013,North,6:34,8:04,9848584.693,719221.5845,9848558.197,719221.122,1,1,8,6,1
291,Hyena,2,83,10,1,Maruti,26,3,2013,North,6:34,9:43,9847221.708,722399.7721,9847222.927,722409.6976,1,1,8,8,1
292,Hyena,1,0,0,1,Maruti,27,3,2013,North,6:40,7:08,9844627.39,721563.8818,9844627.39,721563.8818,1,0,8,7,1
293,Hyena,3,56,198,1,Maruti,27,3,2013,North,6:40,7:15,9844868.572,723268.4267,9844979.293,723432.5761,1,1,8,7,4
294,BlackBackedJackal,2,23,63.5,1,Maruti,27,3,2013,North,6:40,7:38,9846881.47,722169.7819,9846939.922,722194.5933,1,1,8,7,2
295,Hyena,2,81,117.5,1,Maruti,27,3,2013,North,6:40,7:48,9847249.331,722291.8848,9847267.712,722407.9382,1,1,8,8,1
296,Lion,4,41,86,1,Maruti,27,3,2013,North,6:40,7:52,9847127.694,723097.5302,9847192.599,723153.9513,1,1,8,8,1
297,BlackBackedJackal,2,162,194,1,Maruti,27,3,2013,North,6:40,8:08,9846946.935,724144.8605,9846762.43,724204.8098,1,1,8,8,4
298,Hyena,1,52,81,1,Maruti,27,3,2013,North,6:40,8:21,9846309.46,724545.9299,9846359.329,724609.7588,1,1,8,8,2
299,Leopard,1,331,56.5,1,Maruti,27,3,2013,North,6:40,9:42,9846728.839,718362.5682,9846778.255,718335.1765,1,1,8,2,1
300,BandedMongoose,4,55,18,1,Maruti,27,3,2013,North,6:40,11:06,9850667.034,717890.7871,9850677.359,717905.5318,1,1,8,5,1
301,Lion,3,278,40,1,Maruti,26,5,2013,North,6:25,6:27,9842755.357,718727.1929,9842760.924,718687.5822,1,1,8,1,1
302,Caracal,1,156,13.5,1,Maruti,26,5,2013,North,6:25,8:42,9855827.392,722120.2855,9855815.06,722125.7765,1,1,8,4,1
303,BandedMongoose,13,74,69,1,Maruti,26,5,2013,North,6:25,10:00,9851388.652,718753.1345,9851407.671,718819.4615,1,1,8,5,1
304,Cheetah,1,92,14.5,1,Maruti,27,5,2013,North,6:24,8:56,9846903.396,721031.0077,9846902.89,721045.4989,1,1,8,7,1
305,SlenderMongoose,1,44,23.5,1,Maruti,27,5,2013,North,6:24,9:27,9846285.772,722741.3451,9846302.676,722757.6696,1,1,8,7,1
306,Hyena,1,259,96,1,Maruti,28,5,2013,North,6:23,7:00,9846862.547,722195.1714,9846844.229,722100.9352,1,1,8,7,2
307,Lion,1,308,547.5,1,Maruti,28,5,2013,North,6:23,9:17,9847415.047,716736.01,9847752.122,716304.5741,1,1,8,2,8
308,Cheetah,1,121,340,2,Maruti,27,6,2013,North,6:34,6:49,9844361.261,719195.6454,9844186.148,719487.0823,1,1,10,2,6
309,Hyena,2,219,46.5,2,Maruti,27,6,2013,North,6:34,9:35,9853054.06,721388.3075,9853017.923,721359.0441,1,1,10,4,1
310,BandedMongoose,11,289,34,2,Maruti,27,6,2013,North,6:34,10:54,9849193.982,720730.3323,9849205.052,720698.1847,1,1,10,6,1
